metering_point_id;timestamp;value;unit_of_measure;property;reading_status;consumption_from;consumption_to;consumption_value;calculated_value;calculated_normalized_value;calculated_deviation_type;calculated_deviation_level;temperature;calculate_consuming_values;validate_simple_status;validate_advanced_status
"695273";"2017-06-05T00:00:00Z";148,911;"MWh";"energy";"measured";"2017-06-04T00:00:00Z";"2017-06-05T00:00:00Z";0,07699999999999818;undefined;undefined;undefined;undefined;8,414291666666665;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-06T00:00:00Z";148,985;"MWh";"energy";"measured";"2017-06-05T00:00:00Z";"2017-06-06T00:00:00Z";0,07400000000001228;undefined;undefined;undefined;undefined;8,542249999999997;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-07T00:00:00Z";149,051;"MWh";"energy";"measured";"2017-06-06T00:00:00Z";"2017-06-07T00:00:00Z";0,06599999999997408;undefined;undefined;undefined;undefined;10,375958333333337;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-08T00:00:00Z";149,126;"MWh";"energy";"measured";"2017-06-07T00:00:00Z";"2017-06-08T00:00:00Z";0,07500000000001705;undefined;undefined;undefined;undefined;8,046583333333333;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-09T00:00:00Z";149,202;"MWh";"energy";"measured";"2017-06-08T00:00:00Z";"2017-06-09T00:00:00Z";0,0759999999999934;undefined;undefined;undefined;undefined;7,792750000000001;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-10T00:00:00Z";149,264;"MWh";"energy";"measured";"2017-06-09T00:00:00Z";"2017-06-10T00:00:00Z";0,06200000000001182;undefined;undefined;undefined;undefined;9,443249999999999;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-11T00:00:00Z";149,325;"MWh";"energy";"measured";"2017-06-10T00:00:00Z";"2017-06-11T00:00:00Z";0,06099999999997863;undefined;undefined;undefined;undefined;9,894458333333334;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-12T00:00:00Z";149,388;"MWh";"energy";"measured";"2017-06-11T00:00:00Z";"2017-06-12T00:00:00Z";0,0630000000000166;undefined;undefined;undefined;undefined;9,268125;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-13T00:00:00Z";149,463;"MWh";"energy";"measured";"2017-06-12T00:00:00Z";"2017-06-13T00:00:00Z";0,07499999999998863;undefined;undefined;undefined;undefined;8,563999999999998;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-14T00:00:00Z";149,521;"MWh";"energy";"measured";"2017-06-13T00:00:00Z";"2017-06-14T00:00:00Z";0,057999999999992724;undefined;undefined;undefined;undefined;9,462666666666667;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-15T00:00:00Z";149,567;"MWh";"energy";"measured";"2017-06-14T00:00:00Z";"2017-06-15T00:00:00Z";0,04600000000002069;undefined;undefined;undefined;undefined;10,027041666666666;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-16T00:00:00Z";149,62;"MWh";"energy";"measured";"2017-06-15T00:00:00Z";"2017-06-16T00:00:00Z";0,05299999999999727;undefined;undefined;undefined;undefined;10,795958333333337;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-17T00:00:00Z";149,67;"MWh";"energy";"measured";"2017-06-16T00:00:00Z";"2017-06-17T00:00:00Z";0,04999999999998295;undefined;undefined;undefined;undefined;10,278333333333336;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-18T00:00:00Z";149,712;"MWh";"energy";"measured";"2017-06-17T00:00:00Z";"2017-06-18T00:00:00Z";0,04200000000000159;undefined;undefined;undefined;undefined;11,40120833333333;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-19T00:00:00Z";149,744;"MWh";"energy";"measured";"2017-06-18T00:00:00Z";"2017-06-19T00:00:00Z";0,03200000000001069;undefined;undefined;undefined;undefined;11,975833333333334;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-20T00:00:00Z";149,793;"MWh";"energy";"measured";"2017-06-19T00:00:00Z";"2017-06-20T00:00:00Z";0,049000000000006594;undefined;undefined;undefined;undefined;11,660291666666666;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-21T00:00:00Z";149,846;"MWh";"energy";"measured";"2017-06-20T00:00:00Z";"2017-06-21T00:00:00Z";0,05299999999999727;undefined;undefined;undefined;undefined;17,36833333333333;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-22T00:00:00Z";149,9;"MWh";"energy";"measured";"2017-06-21T00:00:00Z";"2017-06-22T00:00:00Z";0,054000000000002046;undefined;undefined;undefined;undefined;16,25416666666667;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-23T00:00:00Z";149,966;"MWh";"energy";"measured";"2017-06-22T00:00:00Z";"2017-06-23T00:00:00Z";0,0660000000000025;undefined;undefined;undefined;undefined;15,077083333333334;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-24T00:00:00Z";150,016;"MWh";"energy";"measured";"2017-06-23T00:00:00Z";"2017-06-24T00:00:00Z";0,04999999999998295;undefined;undefined;undefined;undefined;16,955416666666665;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-25T00:00:00Z";150,076;"MWh";"energy";"measured";"2017-06-24T00:00:00Z";"2017-06-25T00:00:00Z";0,060000000000002274;undefined;undefined;undefined;undefined;15,725;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-26T00:00:00Z";150,159;"MWh";"energy";"measured";"2017-06-25T00:00:00Z";"2017-06-26T00:00:00Z";0,08299999999999841;undefined;undefined;undefined;undefined;12,825833333333334;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-27T00:00:00Z";150,236;"MWh";"energy";"measured";"2017-06-26T00:00:00Z";"2017-06-27T00:00:00Z";0,07699999999999818;undefined;undefined;undefined;undefined;13,949166666666663;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-28T00:00:00Z";150,298;"MWh";"energy";"measured";"2017-06-27T00:00:00Z";"2017-06-28T00:00:00Z";0,06200000000001182;undefined;undefined;undefined;undefined;15,2175;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-29T00:00:00Z";150,337;"MWh";"energy";"measured";"2017-06-28T00:00:00Z";"2017-06-29T00:00:00Z";0,03899999999998727;undefined;undefined;undefined;undefined;18,390833333333337;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-06-30T00:00:00Z";150,367;"MWh";"energy";"measured";"2017-06-29T00:00:00Z";"2017-06-30T00:00:00Z";0,030000000000001137;undefined;undefined;undefined;undefined;18,10083333333333;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-07-01T00:00:00Z";150,404;"MWh";"energy";"measured";"2017-06-30T00:00:00Z";"2017-07-01T00:00:00Z";0,03700000000000614;undefined;undefined;undefined;undefined;17,067916666666665;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
"695273";"2017-07-02T00:00:00Z";150,448;"MWh";"energy";"measured";"2017-07-01T00:00:00Z";"2017-07-02T00:00:00Z";0,04400000000001114;undefined;undefined;undefined;undefined;19,020416666666666;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_error"
