,valid,tmpf,dwpf,relh,sknt,alti,vsby,feel,tmpc
0,2012-01-01,40.049999999999976,39.29999999999998,97.18416666666673,12.916666666666666,29.46916666666668,3.205,31.913611111111113,4.472222222222209
1,2012-01-02,40.212500000000034,38.71249999999998,94.3933333333333,11.833333333333334,29.416249999999994,5.9141666666666675,32.558333333333316,4.562500000000019
2,2012-01-03,36.87500000000001,34.3625,90.66500000000002,17.458333333333332,29.250625000000003,5.029791666666669,26.48958333333333,2.708333333333337
3,2012-01-04,39.57500000000002,33.87499999999999,80.44145833333333,21.75,28.915624999999995,5.598750000000002,29.035833333333333,4.208333333333343
4,2012-01-05,33.91739130434784,32.039130434782585,92.78804347826087,11.152173913043478,28.71217391304348,5.797391304347827,24.96369565217392,1.0652173913043543
5,2012-01-06,28.840000000000003,24.120000000000008,82.66266666666667,6.777777777777778,29.586222222222208,6.210000000000001,21.352888888888895,-1.7555555555555535
6,2012-01-07,35.6,34.43749999999999,95.58625000000002,6.5625,29.421250000000025,4.581875000000001,29.953333333333337,2.000000000000001
7,2012-01-08,31.042553191489386,28.859574468085103,91.55319148936174,6.212765957446808,29.818723404255305,6.144042553191489,24.336808510638292,-0.5319148936170078
8,2012-01-09,28.700000000000003,26.262500000000014,90.5114583333333,6.3125,29.97999999999999,4.902500000000002,21.845624999999995,-1.8333333333333317
9,2012-01-10,33.80000000000001,32.7826086956522,96.05999999999996,9.0,30.09456521739129,3.347391304347827,26.38782608695652,1.0000000000000062
10,2012-01-11,39.0434782608696,35.717391304347814,88.27826086956522,13.391304347826088,29.93391304347827,5.051739130434784,30.54173913043478,3.913043478260888
11,2012-01-12,37.96249999999997,33.79999999999999,85.67791666666665,15.9375,29.411041666666673,4.301666666666668,28.598124999999996,3.312499999999983
12,2012-01-13,34.83404255319149,21.238297872340436,57.53021276595744,11.97872340425532,29.710851063829786,6.21,25.896808510638294,1.574468085106382
13,2012-01-14,30.162499999999998,20.26250000000001,66.61312499999998,8.958333333333334,30.11875000000001,6.21,21.623750000000005,-1.0208333333333346
14,2012-01-15,29.855319148936168,25.604255319148944,84.16446808510635,3.276595744680851,30.20425531914896,5.417021276595747,26.312553191489357,-1.191489361702129
15,2012-01-16,32.359999999999985,31.71999999999999,97.4966666666667,3.911111111111111,30.151333333333323,2.1184444444444437,28.536666666666665,0.1999999999999918
16,2012-01-17,30.124999999999996,29.33750000000001,96.9052083333333,3.1875,30.18812500000003,1.049375,26.76708333333335,-1.0416666666666685
17,2012-01-18,35.33191489361703,33.37872340425531,92.64042553191489,10.574468085106384,29.896808510638316,5.264680851063833,27.13148936170213,1.8510638297872402
18,2012-01-19,35.56170212765956,33.14893617021275,91.02170212765958,9.106382978723405,29.475744680851058,5.853829787234043,28.160212765957446,1.97872340425531
19,2012-01-20,28.479999999999986,27.55999999999999,96.35688888888892,2.8666666666666667,29.54400000000001,4.2408888888888905,25.311555555555564,-1.9555555555555633
20,2012-01-21,28.850000000000012,27.912500000000012,96.2822916666667,8.979166666666666,29.272708333333327,2.588541666666666,19.885416666666664,-1.7499999999999933
21,2012-01-22,29.412499999999984,27.312499999999982,91.85041666666672,9.041666666666666,29.376041666666666,5.602291666666667,20.369375,-1.437500000000009
22,2012-01-23,23.42127659574468,21.00851063829787,90.39659574468082,5.9361702127659575,29.796595744680857,6.21,15.429999999999994,-4.765957446808511
23,2012-01-24,19.175,16.924999999999997,90.83083333333333,5.6875,30.101250000000007,5.734583333333334,10.60416666666667,-7.124999999999999
24,2012-01-25,19.85,17.59999999999999,90.86354166666668,6.5625,30.31312499999999,6.184166666666666,10.512708333333338,-6.749999999999999
25,2012-01-26,23.599999999999998,20.5625,88.09145833333339,9.1875,30.323124999999994,5.935833333333334,13.019166666666669,-4.666666666666668
26,2012-01-27,25.999999999999996,20.674999999999994,80.03499999999994,12.166666666666666,30.357916666666696,6.21,14.310833333333328,-3.3333333333333353
27,2012-01-28,24.72340425531914,19.20851063829787,79.34510638297866,6.617021276595745,30.59510638297875,6.21,16.389787234042558,-4.042553191489367
28,2012-01-29,25.625000000000004,19.2875,76.71833333333329,10.166666666666666,30.709374999999998,6.21,14.963541666666666,-3.5416666666666647
29,2012-01-30,22.587500000000006,17.299999999999994,80.27208333333333,9.645833333333334,30.779374999999987,6.21,11.41770833333333,-5.229166666666663
30,2012-01-31,18.350000000000005,14.5625,85.09333333333335,6.479166666666667,30.779999999999976,6.21,8.693750000000003,-7.58333333333333
31,2012-02-01,17.4875,12.950000000000001,82.47770833333338,5.1875,30.830624999999987,6.21,9.107916666666666,-8.0625
32,2012-02-02,13.062499999999998,7.774999999999999,79.39895833333337,7.041666666666667,30.67874999999998,6.21,1.9541666666666657,-10.520833333333334
33,2012-02-03,6.912499999999999,1.8125,79.33125000000003,7.75,30.665625000000006,5.593333333333335,-6.292916666666669,-13.9375
34,2012-02-04,4.1375,-0.4374999999999995,80.97791666666664,5.604166666666667,30.693749999999984,6.21,-7.448125,-15.479166666666666
35,2012-02-05,11.937500000000002,8.1875,84.60916666666672,8.8125,30.575624999999956,5.075625,-1.1989583333333351,-11.145833333333334
36,2012-02-06,14.760000000000007,8.759999999999998,76.75288888888886,7.844444444444444,30.67866666666665,6.168666666666668,3.210888888888889,-9.577777777777774
37,2012-02-07,15.725000000000003,8.224999999999998,72.28125000000004,4.229166666666667,30.871875000000014,6.21,8.608958333333332,-9.041666666666666
38,2012-02-08,24.012499999999985,20.26250000000001,85.5195833333333,5.479166666666667,30.770000000000014,6.21,17.262500000000006,-4.437500000000008
